column,feature_importance
col_tec_w2v=001,169309.5022312204
col_tec_w2v=014,147864.6709342897
col_tec_w2v=021,101162.54774172604
col_tec_w2v=054,56289.589680989586
col_tec_w2v=029,44133.52986653646
mat_tec_w2v=011,28892.595437462132
col_tec_w2v=040,16742.02782861392
mat_tec_w2v=024,13824.26868497332
mat_col_tec_w2v=027,9243.538294449449
col_tec_w2v=043,8914.31469788154
col_tec_w2v=006,7456.7232666015625
mat_col_tec_w2v=035,7451.699651231368
mat_tec_w2v=019,6599.742702146371
more_title_SVD256=008,6503.9348399018245
hist_col_tec_w2v=012,5211.071790715058
mat_tec_w2v=049,5136.9685664922
agg_color_max_color_g,4141.608656749129
hist_mat_col_tech_pro_acq_w2v=058,4050.9121511553726
agg_color_mean_color_b,3631.793568777541
hist_mat_col_tec_pro_w2v=011,3528.5718895681202
agg_mean_agg_palette_sum_color_r&b_grpby_principal_maker,3184.679137458404
agg_sum_dating_sorting_date_grpby_art_series_id,3125.109759385387
description_SVD256=015,2907.2583007613816
concat_title_SVD256=012,2875.309274112185
mat_col_tec_w2v=051,2719.6182579447827
description_SVD256=010,2609.0697076643505
agg_color_median_color_b,2563.942391524712
col_tec_w2v=016,2542.4600301980972
sub_title=h,2418.392953567207
agg_color_sum_color_g,2418.273598653575
ratio_palletSumColorR_SubTitleH*W,2397.9769384413958
dating_year_w2v=013,2396.2472668737173
agg_color_min_color_r,2276.6297992641726
agg_mean_agg_palette_sum_color_b&g_grpby_principal_maker,2235.0293249984584
agg_color_sum_color_r,2215.7225189854703
description_SVD256=050,2103.803621498247
description_SVD256=018,2070.589203427235
concat_title_SVD256=007,2014.4294185067217
agg_color_median_color_r,1970.7248257398605
description_SVD256=017,1929.8619243055582
agg_color_max_color_b,1912.8802604526281
agg_mean_agg_palette_sum_color_r_grpby_principal_maker,1904.91824760288
agg_color_median_color_g,1890.9133236892521
CE_sub_title,1830.3123074670632
more_title_num_chars,1820.3660555233557
col_tec_w2v=030,1815.306526184082
description_SVD256=007,1803.8154828896124
dating_year_w2v=023,1782.0186020061374
concat_title_SVD256=147,1737.4936386818688
concat_title_words_vs_unique,1720.2664832398295
ratio_palletSumColorG_SubTitleH*W,1502.8420221159856
ratio_palletSumColorB_SubTitleH*W,1470.6379864687722
agg_color_mean_color_g,1464.8413538138072
agg_z-score_agg_palette_sum_color_g_grpby_principal_maker,1425.8080942059557
agg_color_max_color_r,1423.2110900729895
sub_title_h*t,1420.0122384565573
more_title_SVD256=026,1395.2935615430276
concat_title_SVD256=002,1387.5892082676291
agg_palette_min_color_r,1352.141680072993
description_SVD256=002,1347.5567562356591
agg_min_ratio_datingPeriod_durationSurvival_grpby_art_series_id,1345.269357735912
more_title_words_vs_chars,1333.8384679332376
CE_description,1313.3979476094246
col_tec_pro_w2v=060,1310.4917547826965
agg_mean_ratio_palletSumColorB_SubTitleH*W*T*D_grpby_art_series_id,1296.716259782513
sub_title_num_unique_words,1281.3792412181695
date_of_death,1266.438618650039
agg_color_mean_color_r,1264.706440453728
dating_year_w2v=038,1240.511216647923
dating_sorting_date,1213.8390760049224
acquisition_date_year,1207.194457868735
agg_z-score_agg_palette_sum_color_b&g_grpby_principal_maker,1205.7915116660297
long_title_SVD256=052,1145.5294216126204
agg_min_agg_palette_sum_color_r_grpby_principal_maker,1129.720623627305
description_SVD256=058,1118.9620344887178
hist_mat_col_tech_pro_acq_w2v=045,1117.4035081602633
hist_col_tec_w2v=013,1116.1098393797874
concat_title_SVD256=141,1099.6351839949687
sub_title=w,1080.7558798789978
agg_color_sum_color_b,1072.4728301564853
long_title_SVD256=012,1043.5873120774825
description_SVD256=089,1039.2377621680498
sub_title=d,1036.9838775011401
hist_col_tec_w2v=004,1034.7576153203845
concat_title_SVD256=003,1029.7006769975026
col_tec_pro_w2v=031,1016.680362979571
concat_title_SVD256=047,1006.0389492660761
concat_title_SVD256=015,997.416997268796
more_title_SVD256=030,995.0239240080118
title_SVD256=078,988.6849415972829
dating_year_late,974.9478439862529
long_title_SVD256=054,974.6260127164423
agg_palette_max_color_b,955.5865495304266
long_title_SVD256=046,946.5209877043962
agg_min_agg_palette_sum_color_r&b_grpby_principal_maker,942.4554566343626
title_num_chars,933.1427671809992
agg_palette_std_color_b,927.3745121322572
agg_mean_agg_palette_sum_color_r&b&g_grpby_principal_maker,907.9418440063795
long_title_SVD256=140,901.1026086111864
agg_mean_agg_palette_sum_color_r&g_grpby_principal_maker,894.8866935968399
description_num_chars,878.8002407525977
agg_mean_dating_sorting_date_grpby_principal_maker,874.0019462505976
dating_year_w2v=015,872.5584944436947
concat_title_SVD256=041,862.0410776510835
concat_title_SVD256=032,860.927958128353
description_SVD256=016,854.5551613320907
title_SVD256=007,847.1937484045824
hist_col_tec_w2v=003,845.9078670442104
agg_max_min_ratio_datingPeriod_durationSurvival_grpby_principal_maker,837.2589710702499
description_SVD256=070,830.5219936867555
dating_year_w2v=057,825.318624128898
more_title_SVD256=061,809.2857556268573
agg_z-score_agg_palette_sum_color_r&b&g_grpby_principal_maker,805.946848658224
title_SVD256=009,803.085690403978
agg_palette_min_color_r&g,786.3214868803819
more_title_SVD256=093,785.881368642052
title_SVD256=055,783.1842155307531
long_title_SVD256=040,779.577321584026
agg_z-score_agg_palette_sum_color_r&b_grpby_principal_maker,776.6672342518965
OE_acquisition_method,770.7863158285618
more_title_SVD256=041,762.0411361008883
hist_mat_col_tech_pro_acq_w2v=029,760.0329184861233
concat_title_SVD256=200,755.8239521707097
